Date/Time Opened,Date/Time Closed,Case Last Modified Date,Status,Survey Request DateTime,Date site was turned over from BD to Ops,Resurvey Request Date,Actual Survey Date,On-site consultation actual date,Survey Uploaded DateTime,Survey Review outcome,Portal Review Date,Install Guide Creation Date,IG: Latest IG revision date,Hub Approval Sent Date,Approval: Form Sent Date,Approval: Received Date,Approval: Rejection Date,Date Trouble Ticket Created,Promised Date,Asset Load date,Failed Install Date,Gen 3 Approval Date,Installation Date,Provisioned Date,Activation Date,Removal Date,Scheduled Decommission date/time,Case Hold Date,Case Off Hold Date,CaseHold,Country Code,Site Survey Vendor/Supplier,Installation Vendor/Supplier,LayoutArrangement,Account Record Type,Case Record Type,#,Survey Cycle Time(Days),IG: Cycle time (days),Approval Cycle Time(Days),Install Cycle Time(Days),Overall Cycle Time,Provisioned with Installation,Installation Request Email Date Time
1/20/21 0:22,6/18/21 8:35,5/30/23,Activated,2/9/21 1:02,,,,,3/23/21 8:20,Approved,,,,,,,,3/23/21,,,,,5/4/21,5/4/21,6/18/21 8:35,,,,,0,DE,DE - Tokheim,DE - Tokheim,AS,Location Locker/Counter,Locker Onboarding,1,,,,,129.27,0,3/24/21 2:01
10/29/20 2:15,1/5/21 2:06,5/30/23,Activated,10/30/20 22:01,,,,,11/23/20 6:40,Approved,,,,,,,,12/10/20,12/20/20,,,,12/18/20,,1/4/21 16:00,,,,,0,GB,GB - Ricoh UK Ltd,GB - Ricoh UK Ltd,AS,Location Locker/Counter,Locker Onboarding,1,,,,,65.79,1,12/11/20 1:00
11/26/21 6:11,12/4/21 4:39,7/17/23,Activated,,,,,,11/26/21 7:00,,,,,,,,,11/26/21,,,,,12/2/21,12/2/21,12/4/21 4:39,,,,,0,DE,DE - NCR (Cardtronics),DE - NCR (Cardtronics),M,Dobby Onboarding EU,Dobby Onboarding EU,1,,,,,,0,11/27/21 1:00
2/28/22 19:39,5/24/22 20:49,1/17/23,Closed,3/24/22 6:00,,,4/11/22 7:00,,3/7/22 0:00,,,,,,,,,3/23/22,,3/23/22,,,,,,,,,,0,AU,AU - NCR (Cardtronics),AU - NCR (Cardtronics),AS,Location Locker/Counter,Locker Onboarding,1,18.04,0,,,,0,3/24/22 2:01
3/28/22 22:47,,6/30/23,Send approval forms,,,6/10/22,6/27/22 12:00,6/27/22,6/28/22 13:37,Approved,6/11/21,,6/28/22,,,1/31/23,,,,7/14/21,,,8/30/21,8/30/21,8/29/21 22:00,,,,,0,US,US - NSA,US - NSA,MMM,Location Locker/Counter NA,Locker Onboarding NA,1,,-384,,47,,1,
3/29/22 3:10,3/8/23 16:43,6/7/23,Closed,1/4/21 22:00,,,1/16/21 12:00,1/16/21,1/19/21 0:00,Approved,1/27/21,,1/18/21,,3/8/23,,,,,,,,,,,,,,,0,US,US - NSA,US - NSA,AS,Location Locker/Counter NA,Locker Onboarding NA,1,11.58,-1,,,,0,
7/8/21 10:31,12/15/21 3:47,6/1/23,Closed,7/26/21 15:00,,,,,12/1/21 6:05,Approved,,,,,,,,12/1/21,,,,,12/13/21,12/13/21,12/15/21 3:47,,4/11/23 15:00,4/4/23,4/4/23,0,DE,DE - BEM,DE - BEM,MM,Location Locker/Counter,Locker Onboarding,1,,,,,141.57,0,12/2/21 1:00
7/29/22 8:48,8/3/22 8:48,7/13/23,Activated,,,,,,7/29/22 8:57,,,,,,,,,8/1/22,,,,,8/3/22,,8/2/22 16:00,,,,,0,GB,GB - Principle Link UK  Ltd,,MM,Location Locker/Counter,Locker Onboarding,1,,,,,,0,
7/15/21 1:25,3/1/22 1:47,10/4/22,Closed,7/19/21 15:00,,,,,,,,,,,,,,,,,,,,,,,,,,0,DE,DE - NCR (Cardtronics),,,Location Locker/Counter,Locker Onboarding,1,,,,,,0,
7/7/23 3:35,,7/7/23,Wait for consultation,7/7/23 3:43,,,,,,,,,,,,,,,,,,,,,,,,,,0,IT,IT - Ricoh,IT - Ricoh,,Location Locker/Counter,Locker Onboarding,1,,,,,,0,
